Rubro;Sub Rubro;Actividad(es) Clave;Ejemplos de Productos Asociados;Procesos Clave Inferidos
AGRICULTURA, GANADERIA Y FORESTAL;AGROINDUSTRIA;Comercializador, Exportador, Fabricante, Importador, Servicios;Cacao, Café, Frutas, Fertilizantes, Aceites, Harinas;"Gestión de Compras/Aprovisionamiento (materias primas, control de calidad); Gestión de Producción/Transformación (procesamiento, formulación, control de calidad, residuos); Gestión de Inventarios y Almacenes (almacenamiento especializado, trazabilidad, lotes); Gestión de Ventas y Distribución (nacional/internacional, canales, logística); Gestión de Calidad y Certificaciones (normativas sanitarias, certificaciones); Gestión Financiera (costos, divisas)."
AGRICULTURA, GANADERIA Y FORESTAL;ALIMENTOS BALANCEADOS PARA ANIMALES;Comercializador, Fabricante, Importador, Servicios;Piensos para aves/ganado/mascotas, suplementos nutricionales;"Gestión de Compras (ingredientes); Gestión de Producción (formulación, mezcla, control de calidad, lotes); Gestión de Inventarios (ingredientes, producto terminado, caducidad); Gestión de Ventas y Distribución; Cumplimiento Normativo (sanidad animal)."
AGRICULTURA, GANADERIA Y FORESTAL;CRIANZA Y CUIDADO DE GANADO;Comercializador;Ganado vivo (vacuno, porcino), productos lácteos, carne;"Gestión de la Cría y Producción (alimentación, sanidad, reproducción); Gestión de Instalaciones (corrales, pastizales); Gestión de Inventario (animales); Comercialización; Trazabilidad (historial); Cumplimiento Normativo (bienestar animal)."
AGRICULTURA, GANADERIA Y FORESTAL;CRIANZA Y COMERCIALIZACION DE ANIMALES MENORES(CONEJOS,CUYES,ETC.);Exportador;Conejos, cuyes, aves (vivos o carne);"Gestión de la Cría (sanidad, reproducción); Gestión de Instalaciones (jaulas, galpones); Comercialización/Exportación (preparación envío, documentación, logística); Control de Calidad."
AGRICULTURA, GANADERIA Y FORESTAL;PRODUCTOS AGROPECUARIOS;Comercializador, Exportador, Fabricante, Importador, Servicios;Granos, Tubérculos, Legumbres, Cereales, Frutas, Hortalizas;"Gestión de Acopio (recepción del campo); Clasificación y Empaque; Almacenamiento (silos, bodegas); Comercialización; Trazabilidad y Certificaciones (origen, calidad)."
AGRICULTURA, GANADERIA Y FORESTAL;PRODUCTOS E INSUMOS PARA LA AGRICULTURA Y/O GANADERA;Comercializador, Importador, Servicios;Semillas, Fertilizantes, Pesticidas, Maquinaria Agrícola, Sistemas de Riego, Medicamentos Veterinarios;"Gestión de Compras/Importación (insumos); Gestión de Inventarios (almacenamiento seguro); Gestión de Ventas (asesoramiento técnico); Logística de Distribución; Asesoramiento Técnico; Cumplimiento Normativo (productos regulados)."
AGRICULTURA, GANADERIA Y FORESTAL;TUBERIAS Y ACCESORIOS PARA SISTEMAS DE RIEGO;Comercializador, Fabricante, Importador;Tuberías de PVC/HDPE, goteros, aspersores, filtros;"Gestión de Compras/Fabricación (materias primas/componentes); Gestión de Proyectos (diseño, instalación); Gestión de Ventas (asesoramiento, dimensionamiento); Gestión de Inventarios."
AGRICULTURA, GANADERIA Y FORESTAL;SERVICIOS A LA PRODUCCION AGRICOLA;Servicios;Asesoría técnica, control de plagas, análisis de suelo, fumigación, maquinaria agrícola (alquiler);"Gestión de Servicios (planificación visitas, asignación personal); Gestión de Proyectos (seguimiento servicios); Facturación de Servicios; Mantenimiento de Equipos."
AGRICULTURA, GANADERIA Y FORESTAL;SILVICULTURA;Comercializador;Madera en bruto, árboles, productos forestales no maderables;"Gestión Forestal (tala, reforestación); Gestión de Cosecha (transporte madera); Comercialización; Cumplimiento Normativo (permisos, certificaciones)."
AGRICULTURA, GANADERIA Y FORESTAL;CRIANZA Y/O COMERCIALIZACION DE AVES;Comercializador;Aves vivas, carne de ave, huevos;"Gestión de la Cría (alimentación, sanidad, reproducción); Gestión de Instalaciones (galpones); Gestión de Inventario (aves/huevos); Comercialización; Cumplimiento Normativo (bienestar aviar)."
AGRICULTURA, GANADERIA Y FORESTAL;COMERCIALIZACION DE FRUTAS FRESCAS;Exportador;Uvas, Mangos, Arándanos, Paltas, Cítricos;"Gestión de Acopio y Selección (calidad, tamaño); Empaque y Etiquetado (exportación, normativas); Pre-enfriamiento y Cadena de Frío; Gestión de Exportación (documentación, logística refrigerada); Gestión de Calidad; Gestión de Clientes Internacionales."
AGRICULTURA, GANADERIA Y FORESTAL;COMERCIALIZACION DE FRUTAS SECAS;Comercializador;Pasas, Higos secos, Orejones, Ciruelas secas;"Gestión de Compras (frutas secas); Gestión de Inventarios (almacenamiento, control de humedad); Gestión de Ventas y Distribución; Control de Calidad (sanidad, empaque); Logística."
AGRICULTURA, GANADERIA Y FORESTAL;COMERCIALIZACION DE GANADO;Comercializador;Ganado vacuno, ovino, porcino (vivo o carne);"Gestión de Compras/Adquisición (de criadores); Gestión de Sanidad (inspecciones); Gestión de Inventarios (control de animales); Logística de Transporte; Gestión de Ventas (a mataderos, carnicerías)."
